职位名称：手机软件测试工程师, 薪资：7-12K, 公司：浩沨海润, 人数：1000-9999人
职位名称：测试工程师, 薪资：10-15K·13薪, 公司：柯莱特集团, 人数：100-499人
职位名称：测试工程师, 薪资：9-13K, 公司：北控软件, 人数：1000-9999人
职位名称：软件测试工程师, 薪资：11-16K, 公司：博彦科技, 人数：10000人以上
职位名称：测试工程师, 薪资：11-16K, 公司：瑞答科技, 人数：100-499人
职位名称：测试工程师, 薪资：9-14K, 公司：软通动力信息技术集团, 人数：500-999人
职位名称：测试工程师, 薪资：8-12K, 公司：道有道, 人数：500-999人
职位名称：测试工程师, 薪资：9-15K, 公司：艾融软件, 人数：1000-9999人
职位名称：测试工程师（北京360）, 薪资：10-15K, 公司：绛门科技, 人数：1000-9999人
职位名称：测试工程师, 薪资：8-12K, 公司：汉克时代, 人数：10000人以上
职位名称：测试工程师-外派瓜子二手车, 薪资：7-10K, 公司：大连斯锐信息技术公司, 人数：100-499人
职位名称：测试工程师, 薪资：15-30K·14薪, 公司：中公教育, 人数：1000-9999人
职位名称：测试工程师, 薪资：9-13K·14薪, 公司：绿舟科技, 人数：20-99人
职位名称：硬件测试工程师, 薪资：8-13K·14薪, 公司：东土科技, 人数：10000人以上
职位名称：测试工程师, 薪资：15-30K, 公司：北京文景时代教育..., 人数：10000人以上
职位名称：测试工程师, 薪资：11-22K·13薪, 公司：搜狗, 人数：1000-9999人
职位名称：测试工程师, 薪资：8-12K, 公司：智慧星光, 人数：500-999人
职位名称：测试工程师, 薪资：15-30K, 公司：Opera, 人数：500-999人
职位名称：硬件测试工程师, 薪资：7-10K·14薪, 公司：清研讯科TSINGOAL, 人数：100-499人
职位名称：测试工程师, 薪资：6-8K·14薪, 公司：康博嘉, 人数：100-499人
职位名称：测试工程师, 薪资：8-15K, 公司：东软集团, 人数：10000人以上
职位名称：测试工程师, 薪资：12-20K, 公司：北京麦田房产, 人数：10000人以上
职位名称：软件测试工程师, 薪资：10-13K, 公司：安软, 人数：100-499人
职位名称：初级测试工程师, 薪资：6-11K, 公司：咖啡易融, 人数：20-99人
职位名称：测试工程师, 薪资：11-22K, 公司：北京浩太同益, 人数：100-499人
职位名称：测试工程师, 薪资：10-15K, 公司：创世智链, 人数：100-499人
职位名称：中级测试工程师, 薪资：10-15K, 公司：道有道, 人数：100-499人
职位名称：测试工程师, 薪资：10-15K, 公司：同方鼎欣, 人数：1000-9999人
职位名称：自动测试工程师, 薪资：12-15K, 公司：曜立科技, 人数：20-99人
职位名称：服务端-测试工程师, 薪资：10-15K, 公司：绛门科技, 人数：500-999人
职位名称：APP测试工程师, 薪资：7-12K·14薪, 公司：芸品绿, 人数：100-499人
职位名称：web测试工程师, 薪资：6-11K, 公司：中科恒智, 人数：20-99人
职位名称：测试工程师, 薪资：15-24K·15薪, 公司：狸米科技, 人数：1000-9999人
职位名称：自动驾驶测试工程师（外派腾讯）, 薪资：9-10K, 公司：博彦科技, 人数：1000-9999人
职位名称：测试工程师, 薪资：8-10K, 公司：中软国际, 人数：10000人以上
职位名称：测试工程师, 薪资：7-10K, 公司：小蟹网络, 人数：20-99人
职位名称：接口测试工程师, 薪资：5-10K, 公司：蓝涟科技, 人数：20-99人
职位名称：测试工程师, 薪资：8-13K, 公司：北京九恒星, 人数：500-999人
职位名称：安全测试工程师（软件  渗透  代码扫描）, 薪资：10-20K, 公司：亮点软测, 人数：20-99人
职位名称：软件测试工程师, 薪资：11-16K, 公司：京北方, 人数：10000人以上
职位名称：高级测试工程师, 薪资：10-15K, 公司：江泰, 人数：1000-9999人
职位名称：测试工程师, 薪资：10-15K, 公司：阳光出行, 人数：100-499人
职位名称：测试工程师, 薪资：8-11K, 公司：我的医药网, 人数：500-999人
职位名称：测试工程师, 薪资：14-25K, 公司：ADVANCE, 人数：500-999人
职位名称：测试工程师-【音乐】, 薪资：25-40K, 公司：快手, 人数：1000-9999人
职位名称：测试工程师, 薪资：9-14K, 公司：科蓝软件, 人数：1000-9999人
职位名称：测试工程师, 薪资：10-15K, 公司：汽车大师, 人数：20-99人
职位名称：软件测试工程师, 薪资：12-16K, 公司：博彦科技, 人数：1000-9999人
职位名称：测试工程师, 薪资：10-15K, 公司：蓬景数字, 人数：100-499人
职位名称：测试工程师, 薪资：7-12K, 公司：思沃创智, 人数：20-99人
职位名称：测试工程师, 薪资：12-20K, 公司：Opera, 人数：500-999人
职位名称：硬件测试工程师, 薪资：15-30K, 公司：云充吧, 人数：1000-9999人
职位名称：外派软件测试工程师, 薪资：9-12K, 公司：软通动力, 人数：10000人以上
职位名称：测试工程师, 薪资：10-15K, 公司：精英智通, 人数：500-999人
职位名称：测试工程师, 薪资：10-15K·13薪, 公司：金邦达有限公司, 人数：1000-9999人
职位名称：测试工程师, 薪资：10-15K, 公司：AGK, 人数：20-99人
职位名称：测试工程师, 薪资：8-13K, 公司：中方信富, 人数：500-999人
职位名称：初级软件测试工程师, 薪资：9-14K·13薪, 公司：中铁程科技有限责..., 人数：100-499人
职位名称：测试工程师（英语好）, 薪资：6-10K, 公司：ZD, 人数：10000人以上
职位名称：保险测试工程师, 薪资：8-13K, 公司：文思海辉·金融, 人数：1000-9999人
职位名称：测试工程师, 薪资：10-18K, 公司：首汽租车, 人数：500-999人
职位名称：游戏测试工程师-北京-00098, 薪资：6-10K·13薪, 公司：巴别时代, 人数：500-999人
职位名称：测试工程师, 薪资：5-6K, 公司：华正, 人数：1000-9999人
职位名称：测试工程师, 薪资：11-20K·14薪, 公司：掌众金服, 人数：10000人以上
职位名称：测试工程师, 薪资：12-14K, 公司：三好网, 人数：100-499人
职位名称：大数据测试工程师, 薪资：20-35K·14薪, 公司：好未来, 人数：1000-9999人
职位名称：测试工程师, 薪资：14-28K, 公司：贯通云网, 人数：100-499人
职位名称：LTE测试工程师, 薪资：7-8K, 公司：慧博云通, 人数：10000人以上
职位名称：中高级测试工程师（移动端）, 薪资：10-15K, 公司：联创世界, 人数：100-499人
职位名称：测试工程师, 薪资：7-12K, 公司：文思海辉, 人数：500-999人
职位名称：ROS开发测试工程师, 薪资：16-30K, 公司：石头世纪, 人数：500-999人
职位名称：测试工程师, 薪资：11-20K, 公司：文德数慧, 人数：100-499人
职位名称：高级测试工程师, 薪资：9-14K, 公司：甲乙丙丁网, 人数：100-499人
职位名称：软件测试工程师, 薪资：4-8K, 公司：力控元通, 人数：100-499人
职位名称：传输产品开发测试工程师, 薪资：10-15K·14薪, 公司：华三通信, 人数：1000-9999人
职位名称：测试工程师, 薪资：10-14K, 公司：北京乐界乐, 人数：20-99人
